trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,0.38,0,90,12.2277753167,15.388658613,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
1,0,1,0,0.38,0,90,2.81629788131,6.32670688257,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
2,0,2,0,0.38,0,90,16.0609616563,18.6789153367,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
3,0,3,0,0.38,1,90,2.63674796373,11.7549926043,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
4,0,4,0,0.38,0,90,26.8558995649,29.3236838765,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
5,0,5,0,0.38,1,90,9.8568245396,18.1840759106,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
6,0,6,0,0.38,0,90,7.92077372968,16.9715469442,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
7,0,7,0,0.38,0,90,1.75357622281,6.5239344649,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
8,0,8,0,0.38,0,90,21.1202851199,23.6953445226,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
9,0,9,0,0.38,1,90,2.07229550183,12.0213641673,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
10,0,10,0,0.38,1,90,36.7740799487,45.7028424032,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
11,0,11,0,0.38,1,90,14.9328585081,23.1950334497,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
12,0,12,0,0.38,0,90,7.60182983801,23.0227906033,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
13,0,13,0,0.38,1,90,4.17745160311,14.7242574133,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
14,0,14,0,0.38,1,90,16.2039418407,26.0753232613,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
15,0,15,0,0.38,0,90,8.11061210558,12.3507392704,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
16,0,16,0,0.38,0,90,4.91083950922,7.62580719218,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
17,0,17,0,0.38,0,90,7.12014012784,9.86926466972,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
18,0,18,0,0.38,0,90,10.1926071607,13.5444935039,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
19,0,19,0,0.38,1,90,3.56206696481,11.364431791,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
20,0,20,0,0.38,0,90,16.8717395626,19.6693417728,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
21,0,21,0,0.38,1,90,5.00365884602,14.0415580757,45,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
22,0,22,0,0.38,0,90,12.2334827445,15.2476644367,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
23,0,23,0,0.38,1,90,10.6593039073,18.7734530494,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
24,0,24,0,0.38,1,90,9.9030806981,16.8623704948,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
25,0,25,0,0.38,1,90,11.7853394784,18.5956039131,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
26,0,26,0,0.38,0,90,6.48193220049,10.1900520846,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
27,0,27,0,0.38,0,90,7.29407452792,10.123673819,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
28,0,28,0,0.38,0,90,2.78201531246,6.26463447139,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
29,0,29,0,0.38,0,90,2.55147483945,7.08781116083,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
30,0,30,0,0.38,0,90,14.5799220279,19.4442771338,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
31,0,31,0,0.38,0,90,10.5174043067,20.134855967,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
32,0,32,0,0.38,1,90,2.24616871774,11.9778374098,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
33,0,33,0,0.38,1,90,8.80028607324,19.8474124521,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
34,0,34,0,0.38,0,90,7.35706493258,9.97026018426,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
35,0,35,0,0.38,0,90,8.25183703378,10.3002227917,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
36,0,36,0,0.38,0,90,4.41321592405,6.63901109993,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
37,0,37,0,0.38,0,90,4.55131336674,7.9050141871,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
38,0,38,0,0.38,1,90,4.24239533022,10.6379581764,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
39,0,39,0,0.38,1,90,35.488299489,41.2695976719,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
40,0,40,0,0.38,1,90,7.46767145023,13.1836216636,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
41,0,41,0,0.38,0,90,14.6621986851,17.3324439265,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
42,0,42,0,0.38,1,90,2.90843221545,12.3810271993,45,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
43,0,43,0,0.38,0,90,13.93984906,16.6332695931,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
44,0,44,0,0.38,1,90,2.96848006919,10.4669629782,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
45,0,45,0,0.38,0,90,8.12979415059,18.7651774175,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
46,0,46,0,0.38,0,90,7.50554917008,9.93153822422,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
47,0,47,0,0.38,0,90,12.7869223617,22.1386681832,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
