trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,90,4.84578095819,7.05573334038,90,left,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
1,0,1,0,None,0.38,0,90,8.67640188907,11.2479295552,90,right,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
2,0,2,0,None,0.38,1,90,2.95504791808,5.3609408458,90,right,right,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
3,0,3,0,None,0.38,1,90,9.2649096463,11.8643227002,45,right,right,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
4,0,4,0,None,0.38,1,90,6.95285182894,10.0634485668,45,left,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
5,0,5,0,None,0.38,1,90,4.32135732332,6.78690978879,90,left,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
6,0,6,0,None,0.38,1,90,2.41011106165,4.52513014927,90,left,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
7,0,7,0,None,0.38,1,90,6.48315386451,11.7612442363,90,left,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
8,0,8,0,None,0.38,0,90,6.43013567367,12.0293162958,90,left,right,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
9,0,9,0,None,0.38,1,90,2.11014276958,4.89039249404,90,left,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
10,0,10,0,None,0.38,1,90,2.55657660402,5.76573670673,90,left,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
11,0,11,0,None,0.38,1,90,3.9711737106,6.00455756247,45,right,right,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
12,0,12,0,None,0.38,1,90,3.47671338118,5.74508799304,45,right,right,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
13,0,13,0,None,0.38,1,90,4.14129756717,6.62408434594,45,right,right,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
14,0,14,0,None,0.38,0,90,4.04399525636,8.56339618581,45,right,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
15,0,15,0,None,0.38,0,90,4.24532698985,14.7418479164,45,right,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
16,0,16,0,None,0.38,0,90,3.88720493804,8.58263354696,90,left,right,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
17,0,17,0,None,0.38,1,90,4.33252550254,6.33760184603,90,left,left,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
18,0,18,0,None,0.38,0,90,8.77549437154,14.1048736642,90,left,right,2019_Feb_27_1604,59.9952567556,untitled.py,001,1218,
