trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,0,90,2.11270287144,4.2539750163,45,left,right,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
1,0,1,0,None,0.38,1,90,3.35505769588,4.82150496787,90,left,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
2,0,2,0,None,0.38,1,90,6.47950675292,9.62468414288,45,left,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
3,0,3,0,None,0.38,1,90,4.84213496419,7.24526273599,90,right,right,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
4,0,4,0,None,0.38,1,90,5.75391481316,7.94091930671,45,left,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
5,0,5,0,None,0.38,1,90,2.47236143146,6.0648730495,45,left,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
6,0,6,0,None,0.38,0,90,2.85749753111,7.28522312199,45,left,right,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
7,0,7,0,None,0.38,1,90,3.47946736251,5.83467256313,45,left,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
8,0,8,0,None,0.38,1,90,6.14537797403,8.9447373898,45,left,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
9,0,9,0,None,0.38,1,90,7.78602448083,11.1223267204,45,left,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
10,0,10,0,None,0.38,1,90,10.5224133234,17.1611716014,45,left,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
11,0,11,0,None,0.38,0,90,2.82199916476,7.83944495744,90,right,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
12,0,12,0,None,0.38,0,90,3.18261119782,10.2255901239,90,right,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
13,0,13,0,None,0.38,0,90,6.07887399103,6.92066673283,90,right,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
14,0,14,0,None,0.38,1,90,1.75334770198,5.50310220988,90,right,right,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
15,0,15,0,None,0.38,1,90,2.33840921125,5.26187741733,45,right,right,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
16,0,16,0,None,0.38,1,90,3.50459150539,5.90271724481,45,right,right,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
17,0,17,0,None,0.38,1,90,2.6692129866,5.54658846301,45,left,left,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
18,0,18,0,None,0.38,1,90,7.88603411883,11.141386964,45,right,right,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
19,0,19,0,None,0.38,0,90,6.81433981133,9.18416949641,45,left,right,2019_Mrz_05_1421,59.9370915453,untitled.py,001,1218,
