trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,57,9.97100134194,12.9083081791,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
1,0,1,0,None,0.38,1,54,1.98350712191,4.11883828882,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
2,0,2,0,None,0.38,1,54,9.37457945012,13.2643629285,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
3,0,3,0,None,0.38,1,54,18.579935438,21.8454806404,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
4,0,4,0,None,0.38,1,45,3.76783976704,7.90176153649,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
5,0,5,0,None,0.38,1,45,5.83342296351,8.14287011418,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
6,0,6,0,None,0.38,1,45,3.98632451892,5.20241622906,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
7,0,7,0,None,0.38,1,36,4.15776474308,6.96532352548,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
8,0,8,0,None,0.38,1,33,4.54577858374,7.90609476902,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
9,0,9,0,None,0.38,1,33,8.49739589822,13.8429456819,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
10,0,10,0,None,0.38,1,33,4.40433546714,8.00027042534,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
11,0,11,0,None,0.38,1,24,6.45975200739,8.41980754491,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
12,0,12,0,None,0.38,1,24,5.20740960073,8.42051182501,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
13,0,13,0,None,0.38,1,18,4.32312151417,7.80455113668,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
14,0,14,0,None,0.38,0,15,4.73378599808,8.10327485763,90,left,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
15,0,15,0,None,0.38,1,23,2.32463483512,4.21355870645,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
16,0,16,0,None,0.38,1,20,13.5570498481,16.402260622,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
17,0,17,0,None,0.38,1,17,4.82477968559,8.65642309282,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
18,0,18,0,None,0.38,1,14,6.58032599185,8.87922096252,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
19,0,19,0,None,0.38,1,11,5.2217167262,7.54659544677,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
20,0,20,0,None,0.38,1,8,5.26321976632,7.76457678247,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
21,0,21,0,None,0.38,0,5,5.12912227679,14.0686330246,90,right,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
22,0,22,0,None,0.38,0,5,1.45851469971,2.01494575478,90,right,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
23,0,23,0,None,0.38,1,21,6.38117498159,9.58356243558,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
24,0,24,0,None,0.38,0,18,7.60053442512,10.9505847804,90,right,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
25,0,25,0,None,0.38,0,18,2.15712890867,4.23780564219,90,right,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
26,0,26,0,None,0.38,1,34,8.69018492568,12.0825875914,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
27,0,27,0,None,0.38,1,31,5.72441497445,8.26010624226,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
28,0,28,0,None,0.38,1,28,5.60874049645,9.34329642449,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
29,0,29,0,None,0.38,1,25,12.3731510565,17.1495466596,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
30,0,30,0,None,0.38,1,22,7.13559935708,10.0429758532,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
31,0,31,0,None,0.38,0,19,6.03724523634,7.03723573778,90,right,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
32,0,32,0,None,0.38,1,27,3.85063967668,6.47836247366,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
33,0,33,0,None,0.38,0,24,6.04216988478,6.90384140983,90,left,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
34,0,34,0,None,0.38,0,32,1.70377324522,5.79587629158,90,left,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
35,0,35,0,None,0.38,1,32,1.35029535834,2.55559575278,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
36,0,36,0,None,0.38,1,37,2.2854552744,7.70286167692,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
37,0,37,0,None,0.38,1,34,8.1739536738,11.1824846454,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
38,0,38,0,None,0.38,1,31,5.81121259835,10.3237347202,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
39,0,39,0,None,0.38,1,28,5.57405340578,7.59298793599,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
40,0,40,0,None,0.38,1,25,14.2262745677,16.6509860884,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
41,0,41,0,None,0.38,0,22,8.67721595895,29.9133018302,90,right,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
42,0,42,0,None,0.38,1,22,4.9346548235,9.14063994121,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
43,0,43,0,None,0.38,1,27,17.9293854386,23.6511858357,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
44,0,44,0,None,0.38,1,24,5.20337389223,9.88048397191,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
45,0,45,0,None,0.38,1,21,5.96156131569,8.40385160688,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
46,0,46,0,None,0.38,1,18,7.81142519508,9.76531402767,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
47,0,47,0,None,0.38,0,15,6.69863013364,10.9492899245,90,right,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
48,0,48,0,None,0.38,1,23,3.65543358121,5.7017883556,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
49,0,49,0,None,0.38,1,20,9.1214014627,10.034907788,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
50,0,50,0,None,0.38,1,17,11.8036177782,17.4863978522,90,right,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
51,0,51,0,None,0.38,0,14,8.10054071061,8.76393983047,90,left,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
52,0,52,0,None,0.38,0,22,2.12462924793,6.82518895622,90,left,right,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
53,0,53,0,None,0.38,1,30,2.32829535566,8.69114314765,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
54,0,54,0,None,0.38,1,27,5.35336474329,8.00268302206,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
55,0,55,0,None,0.38,1,24,7.79006410018,10.2415094655,90,left,left,2018_Jul_03_1117,59.9949550773,untitled.py,001,293,
