trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,52,10.4723723261,15.9743738379,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
1,0,1,0,None,0.38,1,49,3.93891821429,5.54196301475,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
2,0,2,0,None,0.38,1,46,5.6865786016,7.58903156687,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
3,0,3,0,None,0.38,1,43,5.68908841722,7.16674074437,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
4,0,4,0,None,0.38,1,43,2.07826357894,4.58824263979,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
5,0,5,0,None,0.38,1,37,1.94945698418,4.11631841492,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
6,0,6,0,None,0.38,1,34,1.4079180453,3.72430350818,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
7,0,7,0,None,0.38,1,31,3.44031350315,6.14102071617,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
8,0,8,0,None,0.38,1,28,3.53160834685,8.79679484386,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
9,0,9,0,None,0.38,1,28,8.74230300263,10.7867455222,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
10,0,10,0,None,0.38,1,28,4.94408004358,6.68687500805,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
11,0,11,0,None,0.38,1,19,6.56419544946,8.36761459894,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
12,0,12,0,None,0.38,1,16,4.23263040464,6.32430322841,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
13,0,13,0,None,0.38,0,13,3.5951393256,11.0895750709,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
14,0,14,0,None,0.38,1,21,3.70720161404,4.99905881938,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
15,0,15,0,None,0.38,0,18,8.20093140379,18.6546105724,90,left,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
16,0,16,0,None,0.38,1,26,5.23951898888,7.11285736039,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
17,0,17,0,None,0.38,0,23,7.21447474416,12.9662823062,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
18,0,18,0,None,0.38,1,31,4.96851527225,6.55288535263,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
19,0,19,0,None,0.38,1,28,9.07144902553,10.703596686,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
20,0,20,0,None,0.38,1,25,7.36982772965,8.7405281961,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
21,0,21,0,None,0.38,1,22,6.694784672,8.4371868493,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
22,0,22,0,None,0.38,0,19,6.92587745097,19.6237264788,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
23,0,23,0,None,0.38,1,27,1.94857391156,3.46275490336,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
24,0,24,0,None,0.38,0,24,11.7804179024,13.9673184725,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
25,0,25,0,None,0.38,1,32,2.29165466595,3.89917070512,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
26,0,26,0,None,0.38,1,29,9.36733383685,10.8072545528,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
27,0,27,0,None,0.38,1,26,5.35150640644,6.81738097966,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
28,0,28,0,None,0.38,1,23,14.1738961237,15.5503953714,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
29,0,29,0,None,0.38,1,23,12.5644005034,13.9126975629,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
30,0,30,0,None,0.38,1,17,7.35041576531,8.84800777771,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
31,0,31,0,None,0.38,0,14,11.0131050181,14.3941688128,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
32,0,32,0,None,0.38,1,14,2.88991477992,4.50696219783,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
33,0,33,0,None,0.38,1,19,6.19808020256,7.62824185751,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
34,0,34,0,None,0.38,1,16,9.49924697075,11.1017187936,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
35,0,35,0,None,0.38,1,13,10.5596691752,12.9852048233,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
36,0,36,0,None,0.38,1,10,7.3993929401,9.35068116244,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
37,0,37,0,None,0.38,0,7,8.42316411715,12.3950449014,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
38,0,38,0,None,0.38,1,15,7.89463772625,9.60233018361,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
39,0,39,0,None,0.38,1,12,7.7200630242,9.42637625709,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
40,0,40,0,None,0.38,1,9,6.81096591894,8.38270757906,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
41,0,41,0,None,0.38,1,6,7.36276007164,9.99562318716,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
42,0,42,0,None,0.38,1,3,5.67451645341,8.06859503035,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
43,0,43,0,None,0.38,0,3,9.0908651799,12.8510221271,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
44,0,44,0,None,0.38,0,11,4.69295902178,8.29668714944,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
45,0,45,0,None,0.38,0,19,2.19996982813,6.09365212545,90,left,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
46,0,46,0,None,0.38,1,19,6.88006743882,8.52238678373,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
47,0,47,0,None,0.38,1,24,8.66820140556,10.5328557119,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
48,0,48,0,None,0.38,1,21,8.93684085552,10.859862077,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
49,0,49,0,None,0.38,1,18,5.94745281804,7.62415949441,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
50,0,50,0,None,0.38,0,15,6.68193303887,8.86443444621,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
51,0,51,0,None,0.38,1,15,4.39971672371,5.73802033532,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
52,0,52,0,None,0.38,1,15,9.04783820268,10.3359552678,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
53,0,53,0,None,0.38,1,17,10.1658769483,11.9682258498,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
54,0,54,0,None,0.38,1,14,10.5526386732,12.8021421712,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
55,0,55,0,None,0.38,1,11,8.0388694657,9.53984067775,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
56,0,56,0,None,0.38,1,8,9.55231237505,11.1646726048,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
57,0,57,0,None,0.38,1,5,7.25648147985,8.38086879719,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
58,0,58,0,None,0.38,1,2,13.1171964593,14.5866047218,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
59,0,59,0,None,0.38,1,2,13.0690911831,14.7454913957,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
60,0,60,0,None,0.38,1,2,8.69513220247,10.3214073302,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
61,0,61,0,None,0.38,1,2,6.6142624272,8.22483388335,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
62,0,62,0,None,0.38,1,2,5.74183087517,7.16503913142,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
63,0,63,0,None,0.38,1,2,4.76275671832,6.28129636589,90,left,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
64,0,64,0,None,0.38,0,2,9.49407787807,46.6512428252,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
65,0,65,0,None,0.38,1,10,8.12887839042,10.1605768325,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
66,0,66,0,None,0.38,0,7,18.3445038404,20.3592300136,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
67,0,67,0,None,0.38,1,15,1.65108554345,3.02394103166,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
68,0,68,0,None,0.38,1,12,8.56481480226,10.1035799244,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
69,0,69,0,None,0.38,1,9,5.1509510288,6.62939842977,90,right,right,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
70,0,70,0,None,0.38,0,6,11.783529751,17.4119752655,90,right,left,2018_Jun_25_1007,59.8558096987,untitled.py,001,293,
