trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,0,0,0,0,0,,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
1,0,1,0,None,0.38,0,0,0,0,0,,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
2,0,2,0,None,0.38,0,90,2.14710975834,68.4054375626,90,left,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
3,0,3,0,None,0.38,1,90,1.31208603317,3.95180923818,90,left,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
4,0,4,0,None,0.38,0,87,4.812778719,23.6325189373,90,right,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
5,0,5,0,None,0.38,0,87,3.64800330764,6.05202700337,90,left,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
6,0,6,0,None,0.38,1,87,8.71744341799,10.5195612849,90,left,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
7,0,7,0,None,0.38,1,84,12.4280482575,14.0273568288,90,right,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
8,0,8,0,None,0.38,1,81,4.41633364023,6.00032043178,90,left,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
9,0,9,0,None,0.38,1,81,8.55815613433,9.8547524896,90,left,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
10,0,10,0,None,0.38,1,81,4.07113809162,6.12617693027,90,left,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
11,0,11,0,None,0.38,1,72,9.9658255449,11.3022023749,90,left,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
12,0,12,0,None,0.38,1,69,5.37728677806,6.41944716428,90,right,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
13,0,13,0,None,0.38,1,66,4.88612016337,6.22042913269,90,right,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
14,0,14,0,None,0.38,1,63,7.48318850575,8.82468498079,90,right,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
15,0,15,0,None,0.38,1,60,5.91570297349,6.85188145423,90,right,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
16,0,16,0,None,0.38,1,60,9.72186744399,11.0029394797,90,right,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
17,0,17,0,None,0.38,0,54,3.68428892479,10.8179313291,90,left,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
18,0,18,0,None,0.38,1,62,11.1679188276,12.5024582732,90,left,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
19,0,19,0,None,0.38,1,59,8.45228206366,9.94433873589,90,right,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
20,0,20,0,None,0.38,1,56,4.7552068769,5.96307826834,90,left,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
21,0,21,0,None,0.38,1,53,5.55748090893,6.94343694532,90,right,right,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
22,0,22,0,None,0.38,1,50,7.54787940928,9.02238440933,90,left,left,2018_Mai_18_1026,59.8910613876,untitled.py,001,293,
