trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.15,1,90,6.16865244042,11.0907076178,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
1,0,1,0,None,0.15,1,90,11.9612978743,58.3481358662,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
2,0,2,0,None,0.15,1,90,17.3744372539,43.1163332211,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
3,0,3,0,None,0.15,0,90,14.0024413718,18.2193831895,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
4,0,4,0,None,0.15,0,90,21.2351564234,25.2126552397,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
5,0,5,0,None,0.15,1,90,6.85609372146,12.0230811452,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
6,0,6,0,None,0.15,1,90,10.2345887534,12.9841027278,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
7,0,7,0,None,0.15,0,90,11.1197515326,26.7312292485,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
8,0,8,0,None,0.15,1,90,7.1424767673,15.4779339265,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
9,0,9,0,None,0.15,0,90,5.7879604809,16.8294920158,90,left,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
10,0,10,0,None,0.15,0,90,2.25257567689,14.365151437,90,left,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
11,0,11,0,None,0.15,1,90,5.11982863769,16.4931956436,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
12,0,12,0,None,0.15,1,90,4.19858613331,16.3035614863,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
13,0,13,0,None,0.15,1,90,9.34038543981,26.4061376518,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
14,0,14,0,None,0.15,0,90,4.4005428059,7.92976174317,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
15,0,15,0,None,0.15,0,90,7.08678784594,10.1665513348,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
16,0,16,0,None,0.15,1,90,20.2502642097,46.4151460594,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
17,0,17,0,None,0.15,0,90,5.82700594608,8.19749688823,90,left,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
18,0,18,0,None,0.15,1,90,2.47924750205,17.508242528,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
19,0,19,0,None,0.15,0,90,4.95529068634,16.6150647644,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
20,0,20,0,None,0.15,1,90,5.60652317572,12.5008946666,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
21,0,21,0,None,0.15,1,90,5.50818777271,15.5864044176,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
22,0,22,0,None,0.15,1,90,21.6074096011,53.7279821876,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
23,0,23,0,None,0.15,1,90,20.3637445541,27.9550694292,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
24,0,24,0,None,0.15,1,90,13.7983774478,25.1053287499,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
25,0,25,0,None,0.15,1,90,16.2848638585,21.40908188,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
26,0,26,0,None,0.15,0,90,7.62481376808,10.266886713,90,left,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
27,0,27,0,None,0.15,0,90,3.87037542462,7.88721555378,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
28,0,28,0,None,0.15,1,90,9.17519740667,25.527412842,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
29,0,29,0,None,0.15,0,90,16.823395431,21.6051492579,90,left,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
30,0,30,0,None,0.15,0,90,6.52428004052,7.76934582461,90,left,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
31,0,31,0,None,0.15,0,90,2.92964552715,9.84129407443,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
32,0,32,0,None,0.15,1,90,7.53328844812,13.4765938129,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
33,0,33,0,None,0.15,1,90,8.19225125015,26.7273030514,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
34,0,34,0,None,0.15,0,90,6.78065759689,10.1014318857,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
35,0,35,0,None,0.15,1,90,14.2967483299,25.3761824481,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
36,0,36,0,None,0.15,0,90,7.8706779778,13.0080499062,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
37,0,37,0,None,0.15,0,90,4.56386719551,6.4423014652,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
38,0,38,0,None,0.15,0,90,4.88997400552,6.82021318376,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
39,0,39,0,None,0.15,0,90,15.7213860983,33.1549822679,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
40,0,40,0,None,0.15,1,90,6.06021463592,18.6409524111,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
41,0,41,0,None,0.15,0,90,11.1435771864,19.6211376032,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
42,0,42,0,None,0.15,0,90,3.2344295159,7.53265401069,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
43,0,43,0,None,0.15,1,90,8.39791789185,19.2622065097,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
44,0,44,0,None,0.15,1,90,23.7659702562,31.2948380308,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
45,0,45,0,None,0.15,0,90,11.9585447321,23.7843762273,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
46,0,46,0,None,0.15,0,90,1.97797094285,59.3623250993,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
47,0,47,0,None,0.15,1,90,4.443527041,11.5717776986,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
48,0,48,0,None,0.15,0,90,15.5476095425,23.6404163102,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
49,0,49,0,None,0.15,0,90,2.81191995088,4.64218608849,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
50,0,50,0,None,0.15,0,90,1.74504133873,14.5008555548,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
51,0,51,0,None,0.15,1,90,6.51424999535,19.6428671805,90,left,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
52,0,52,0,None,0.15,1,90,6.7410676498,39.9585751826,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
53,0,53,0,None,0.15,0,90,6.59145338275,67.5651863571,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
54,0,54,0,None,0.15,1,90,8.22991748992,14.3182482691,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
55,0,55,0,None,0.15,1,90,26.6909313891,38.4250367014,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
56,0,56,0,None,0.15,0,90,8.53899029084,33.3258696292,90,right,left,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
57,0,57,0,None,0.15,1,90,13.6479521841,83.2742474256,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
58,0,58,0,None,0.15,1,90,60.0964753898,79.6075953785,90,right,right,2018_Feb_19_1242,59.8850498343,untitled.py,001,293,
