trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.15,1,90,5.63492622692,7.15606285166,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
1,0,1,0,None,0.15,0,90,3.03638646845,7.22679027636,90,left,right,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
2,0,2,0,None,0.15,1,90,1.65591045748,3.36397726461,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
3,0,3,0,None,0.15,0,90,2.92078155186,4.63283881079,90,left,right,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
4,0,4,0,None,0.15,0,90,1.67145936098,3.80704726372,90,left,right,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
5,0,5,0,None,0.15,1,90,1.34686950501,2.88580168784,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
6,0,6,0,None,0.15,0,90,4.54708377738,5.49034220818,90,left,right,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
7,0,7,0,None,0.15,1,90,1.20961015951,3.0838880362,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
8,0,8,0,None,0.15,0,90,4.87720841635,5.77267501876,90,left,right,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
9,0,9,0,None,0.15,1,90,1.20401782915,2.38232875988,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
10,0,10,0,None,0.15,1,90,4.07407421898,5.98972942121,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
11,0,11,0,None,0.15,1,90,5.55490851495,7.56900164671,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
12,0,12,0,None,0.15,1,90,2.47578169871,4.70475297887,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
13,0,13,0,None,0.15,1,90,7.68869032245,9.30514241289,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
14,0,14,0,None,0.15,1,90,2.72548941337,4.36596159544,90,left,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
15,0,15,0,None,0.15,1,90,3.50742315035,4.78448853083,90,right,right,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
16,0,16,0,None,0.15,1,90,4.19550976437,5.54480667226,90,right,right,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
17,0,17,0,None,0.15,0,90,6.1958461199,8.55558290239,90,right,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
18,0,18,0,None,0.15,0,90,1.8072464522,3.76745368447,90,right,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
19,0,19,0,None,0.15,0,90,2.45745841973,4.28610312194,90,right,left,2018_Mrz_14_1203,59.9925419274,untitled.py,001,293,
