trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,0.15,0,90,3.88861489379,4.65037344132,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
1,0,1,0,0.15,1,90,5.97175143768,7.60286488925,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
2,0,2,0,0.15,0,90,2.86935462468,3.84992813332,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
3,0,3,0,0.15,1,90,2.53679587769,3.5824893946,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
4,0,4,0,0.15,0,90,5.62437125389,6.25408704179,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
5,0,5,0,0.15,1,90,3.64863243792,4.78075286105,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
6,0,6,0,0.15,0,90,3.077848721,3.85080170804,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
7,0,7,0,0.15,0,90,3.36939359611,4.86436181135,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
8,0,8,0,0.15,1,90,3.65035667941,5.2862076046,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
9,0,9,0,0.15,0,90,5.2644414304,6.03176213737,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
10,0,10,0,0.15,0,90,3.10560699754,5.38645442368,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
11,0,11,0,0.15,1,90,1.39944462215,2.90218896536,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
12,0,12,0,0.15,0,90,12.4027402924,15.9341664932,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
13,0,13,0,0.15,0,90,2.51542388767,3.98394349003,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
14,0,14,0,0.15,1,90,3.65787690894,5.12441609199,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
15,0,15,0,0.15,0,90,6.47885275922,7.09270954828,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
16,0,16,0,0.15,0,90,8.91170609672,9.61274910638,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
17,0,17,0,0.15,1,90,1.25411302274,3.06197240152,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
18,0,18,0,0.15,0,90,4.63497483619,5.33138094367,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
19,0,19,0,0.15,1,90,4.35601005156,6.30294213371,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
20,0,20,0,0.15,0,90,4.36109393792,7.89029052575,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
21,0,21,0,0.15,0,90,3.13089652456,6.40272492733,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
22,0,22,0,0.15,1,90,4.66200508724,6.37848357822,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
23,0,23,0,0.15,1,90,3.00139626684,4.52722371139,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
24,0,24,0,0.15,1,90,3.21018649018,4.64504231683,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
