trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,90,11.6888026271,13.736778557,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
1,0,1,0,None,0.38,0,90,3.67369707604,9.12324192037,90,left,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
2,0,2,0,None,0.38,1,90,9.99687027268,12.1427343419,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
3,0,3,0,None,0.38,1,90,8.00903829955,10.7620035507,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
4,0,4,0,None,0.38,1,90,5.61221356352,7.38352835353,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
5,0,5,0,None,0.38,1,90,7.62975434028,10.484651541,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
6,0,6,0,None,0.38,1,90,6.34570734552,7.64457465964,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
7,0,7,0,None,0.38,1,90,3.74477482471,5.02491182543,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
8,0,8,0,None,0.38,1,90,10.9797851404,12.2039384894,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
9,0,9,0,None,0.38,0,90,5.23925806209,7.4680877038,90,right,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
10,0,10,0,None,0.38,0,90,1.27829514653,13.0421718403,90,right,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
11,0,11,0,None,0.38,1,90,5.18159794051,6.51669220533,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
12,0,12,0,None,0.38,1,90,7.7823494327,9.00646674365,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
13,0,13,0,None,0.38,1,90,4.82082638994,6.84688947897,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
14,0,14,0,None,0.38,0,90,4.62013691687,7.1872609508,90,right,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
15,0,15,0,None,0.38,0,90,2.87733915902,5.6825934581,90,left,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
16,0,16,0,None,0.38,0,90,1.3379169699,4.25407139736,90,right,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
17,0,17,0,None,0.38,1,90,9.55068814603,11.3808509181,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
18,0,18,0,None,0.38,1,90,5.98097132461,7.38491484255,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
19,0,19,0,None,0.38,1,90,6.67127777415,8.06393913191,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
20,0,20,0,None,0.38,1,90,8.4516350542,9.90636938496,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
21,0,21,0,None,0.38,0,90,5.04151170049,8.17211964086,90,right,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
22,0,22,0,None,0.38,1,90,6.6313556612,7.81582324021,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
23,0,23,0,None,0.38,1,90,4.71686876414,5.70847244561,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
24,0,24,0,None,0.38,1,90,4.34206665936,6.44249478634,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
25,0,25,0,None,0.38,1,90,10.9008675683,11.925831635,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
26,0,26,0,None,0.38,1,90,14.6769907908,16.4888283288,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
27,0,27,0,None,0.38,1,90,4.5214335901,6.4042689784,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
28,0,28,0,None,0.38,1,90,4.71577197663,6.76231560158,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
29,0,29,0,None,0.38,1,90,6.25304864161,7.52321314579,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
30,0,30,0,None,0.38,1,90,5.04328511027,7.18595855054,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
31,0,31,0,None,0.38,1,90,8.59112093854,10.6008746922,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
32,0,32,0,None,0.38,1,90,4.3510504826,6.00187509856,90,left,left,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
33,0,33,0,None,0.38,1,90,7.31553284009,8.40197064157,90,right,right,2018_Apr_20_1220,39.9256374274,untitled.py,001,293,
