trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,0.15,1,90,17.1771082636,18.6845632615,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
1,0,1,0,0.15,0,90,5.84266156703,6.70810116921,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
2,0,2,0,0.15,0,90,6.13866399135,12.0053221844,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
3,0,3,0,0.15,0,90,4.27251396514,5.95847433154,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
4,0,4,0,0.15,0,90,6.88140783273,7.80068723857,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
5,0,5,0,0.15,0,90,4.60898019094,7.09310540836,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
6,0,6,0,0.15,1,90,1.72672085464,4.39942730125,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
7,0,7,0,0.15,0,90,9.82009389531,10.8079155311,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
8,0,8,0,0.15,1,90,1.20268302318,3.14509832952,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
9,0,9,0,0.15,0,90,4.43759053107,5.18504782021,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
10,0,10,0,0.15,1,90,1.45762128942,3.02591530513,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
11,0,11,0,0.15,1,90,3.38105764799,5.21840932313,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
12,0,12,0,0.15,1,90,11.2663888847,12.8490852881,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
13,0,13,0,0.15,0,90,4.96815656777,5.81382131018,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
14,0,14,0,0.15,0,90,1.52607300691,2.74685777165,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
15,0,15,0,0.15,1,90,5.69138228428,7.39146567509,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
16,0,16,0,0.15,0,90,8.58482740168,10.5088367378,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
17,0,17,0,0.15,0,90,3.70918370876,5.73687521741,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
18,0,18,0,0.15,1,90,4.04506773967,7.09503973275,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
