trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.15,1,90,9.04248472955,9.95604748651,90,right,right,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
1,0,1,0,None,0.15,1,90,18.2109606108,18.8371209186,90,right,right,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
2,0,2,0,None,0.15,1,90,10.5453961324,11.1701098885,90,left,left,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
3,0,3,0,None,0.15,0,90,9.76283103041,10.0126175256,90,right,left,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
4,0,4,0,None,0.15,1,90,4.88465461414,5.50977987424,90,left,left,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
5,0,5,0,None,0.15,1,90,8.06792203989,8.69386695791,90,left,left,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
6,0,6,0,None,0.15,0,90,6.27808143198,6.52492509503,90,right,left,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
7,0,7,0,None,0.15,0,90,4.74303801171,4.98844294436,90,left,right,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
8,0,8,0,None,0.15,0,90,2.41435098648,2.6639296338,90,left,right,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
9,0,9,0,None,0.15,1,90,6.90748433117,7.53332141414,90,left,left,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
10,0,10,0,None,0.15,1,90,8.62987111509,9.25578027405,90,left,left,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
11,0,11,0,None,0.15,1,90,9.79255436175,10.4186395202,90,left,left,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
12,0,12,0,None,0.15,1,90,6.34110368788,6.96655440796,90,left,left,2018_Feb_28_1623,59.8864523025,untitled.py,001,293,
