trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.15,0,0,0,0,0,,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
1,0,1,0,None,0.15,0,0,0,0,0,,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
2,0,2,0,None,0.15,1,90,2.94517906569,3.85572020989,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
3,0,3,0,None,0.15,1,90,5.90449009556,6.53100938816,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
4,0,4,0,None,0.15,1,90,9.20347697847,9.82954872772,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
5,0,5,0,None,0.15,0,90,6.33652852476,6.59181683697,90,left,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
6,0,6,0,None,0.15,1,90,1.89374096412,2.52007671352,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
7,0,7,0,None,0.15,1,90,5.35630785488,5.98233797867,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
8,0,8,0,None,0.15,1,90,5.99290272966,6.61928010453,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
9,0,9,0,None,0.15,1,90,1.46489791293,2.09071208816,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
10,0,10,0,None,0.15,1,90,8.57562762871,9.2012926219,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
11,0,11,0,None,0.15,1,90,1.26622210443,1.89266848192,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
12,0,12,0,None,0.15,1,90,9.45569897816,10.0826912355,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
13,0,13,0,None,0.15,1,90,8.82310964074,9.44972363766,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
14,0,14,0,None,0.15,1,90,4.74953017756,5.37551951408,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
15,0,15,0,None,0.15,0,90,2.35355499107,2.59952452034,90,left,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
16,0,16,0,None,0.15,0,90,6.26366647147,6.52183615509,90,right,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
17,0,17,0,None,0.15,0,90,1.32939968631,1.57968121674,90,right,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
18,0,18,0,None,0.15,1,90,1.8799129501,2.50560588017,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
19,0,19,0,None,0.15,1,90,5.56954473257,6.19564302173,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
20,0,20,0,None,0.15,0,90,5.86992480885,6.11529957037,90,right,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
21,0,21,0,None,0.15,0,90,1.62674027029,1.87649799138,90,left,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
22,0,22,0,None,0.15,1,90,1.65937654115,2.28520664014,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
23,0,23,0,None,0.15,0,90,7.97602656204,8.22582339402,90,right,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
24,0,24,0,None,0.15,1,90,2.09356300812,2.71966772247,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
25,0,25,0,None,0.15,1,90,5.89242292009,6.51889248472,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
26,0,26,0,None,0.15,1,90,1.76847560238,2.39469401818,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
27,0,27,0,None,0.15,0,90,9.24477440584,9.49378007557,90,right,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
28,0,28,0,None,0.15,1,90,2.06114995014,2.68728930596,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
29,0,29,0,None,0.15,0,90,6.24269704614,6.47576856799,90,left,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
30,0,30,0,None,0.15,0,90,1.37805531174,1.61152325291,90,left,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
31,0,31,0,None,0.15,0,90,6.64172597323,6.87485979311,90,right,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
32,0,32,0,None,0.15,1,90,3.76531318948,4.39034793526,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
33,0,33,0,None,0.15,0,90,4.93757809978,5.18744533136,90,right,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
34,0,34,0,None,0.15,1,90,4.22717272677,4.85380488262,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
35,0,35,0,None,0.15,0,90,6.00695898477,6.25482931547,90,right,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
36,0,36,0,None,0.15,1,90,2.16539252922,2.79181488138,90,right,right,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
37,0,37,0,None,0.15,1,90,4.85311792418,5.47956793383,90,left,left,2018_Mrz_01_1601,59.8861516965,untitled.py,001,293,
