trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,0.15,1,90,3.45499162562,4.84706100915,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
1,0,1,0,0.15,0,90,9.3235615138,13.2360487152,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
2,0,2,0,0.15,0,90,1.30169560667,6.19562598038,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
3,0,3,0,0.15,0,90,7.48248953372,9.66978931706,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
4,0,4,0,0.15,0,90,2.26871711295,12.413653411,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
5,0,5,0,0.15,1,90,5.42364518344,8.54474437423,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
6,0,6,0,0.15,1,90,4.02560157795,5.45220970828,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
7,0,7,0,0.15,1,90,5.10803803243,6.12554807961,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
8,0,8,0,0.15,0,90,4.27121240273,8.26467274502,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
9,0,9,0,0.15,1,90,1.80309648253,4.77330247313,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
10,0,10,0,0.15,0,90,6.49557387922,11.7559368582,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
11,0,11,0,0.15,1,90,1.57345947623,3.19854115602,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
12,0,12,0,0.15,1,90,5.64957278036,7.05877646431,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
13,0,13,0,0.15,1,90,3.16862115171,5.04081971385,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
